dosen_id,nama
22,Ahmad Saputra
41,Budi Wijaya
85,Cahyo Kusuma
87,Dedi Pratama
105,Eko Santoso
129,Fajar Setiawan
147,Guntur Nugraha
151,Haryanto Hidayat
205,Iwan Kurniawan
207,Joko Ramadhan
208,Kusuma Susanto
225,Lukman Wibowo
265,Mulyono Yulianto
282,Nugroho Baskoro
283,Ono Budiman
284,Prasetyo Cahyono
285,Rahmat Darmawan
287,Setyo Efendi
297,Taufik Gunawan
311,Utomo Handoko
335,Wahyu Hartono
336,Yoga Irawan
337,Zulkifli Jatmiko
368,Ani Laksana
370,Citra Mahendra
393,Dewi Mansyur
395,Endah Nasution
400,Fitri Pambudi
403,Gita Purnomo
426,Hesti Raharjo
430,Indah Sanjaya
431,Kartika Sitorus
437,Laras Sudirman
441,Maya Suhendra
475,Nina Sulistyo
482,Putri Sumantri
525,Ratna Suryadi
527,Sari Tanjung
533,Tyas Utama
543,Utami Wahyudi
545,Vera Saputra
552,Wati Wijaya
554,Yeni Kusuma
560,Zaskia Pratama
563,Adi Santoso
569,Agus Setiawan
587,Bambang Nugraha
592,Darma Hidayat
593,Edi Kurniawan
594,Farhan Ramadhan
638,Ahmad Susanto
644,Budi Wibowo
683,Cahyo Yulianto
684,Dedi Baskoro
710,Eko Budiman
712,Fajar Cahyono
713,Guntur Darmawan
752,Haryanto Efendi
762,Iwan Gunawan
763,Joko Handoko
772,Kusuma Hartono
782,Lukman Irawan
794,Mulyono Jatmiko
796,Nugroho Laksana
798,Ono Mahendra
847,Prasetyo Mansyur
860,Rahmat Nasution
882,Setyo Pambudi
888,Taufik Purnomo
891,Utomo Raharjo
896,Wahyu Sanjaya
905,Yoga Sitorus
919,Zulkifli Sudirman
922,Ani Suhendra
928,Citra Sulistyo
930,Dewi Sumantri
949,Endah Suryadi
952,Fitri Tanjung
955,Gita Utama
956,Hesti Wahyudi
963,Indah Saputra
980,Kartika Wijaya
989,Laras Kusuma
1070,Maya Pratama
1093,Nina Santoso
1096,Putri Setiawan
1103,Ratna Nugraha
1107,Sari Hidayat
1108,Tyas Kurniawan
1133,Utami Ramadhan
1168,Vera Susanto
1169,Wati Wibowo
1181,Yeni Yulianto
1200,Zaskia Baskoro
1222,Adi Budiman
1228,Agus Cahyono
1233,Bambang Darmawan
1255,Darma Efendi
1259,Edi Gunawan
1260,Farhan Handoko
1262,Ahmad Hartono
1265,Budi Irawan
1266,Cahyo Jatmiko
1348,Dedi Laksana
1362,Eko Mahendra
1363,Fajar Mansyur
1376,Guntur Nasution
1379,Haryanto Pambudi
1380,Iwan Purnomo
1423,Joko Raharjo
1431,Kusuma Sanjaya
1514,Lukman Sitorus
1517,Mulyono Sudirman
1519,Nugroho Suhendra
1533,Ono Sulistyo
1660,Prasetyo Sumantri
1675,Rahmat Suryadi
1686,Setyo Tanjung
1743,Taufik Utama
1777,Utomo Wahyudi
1803,Wahyu Saputra
2672,Yoga Wijaya
2736,Zulkifli Kusuma
2748,Ani Pratama
2801,Citra Santoso
2809,Dewi Setiawan
2825,Endah Nugraha
2878,Fitri Hidayat
2968,Gita Kurniawan
3015,Hesti Ramadhan
3040,Indah Susanto
3048,Kartika Wibowo
3051,Laras Yulianto
3125,Maya Baskoro
4637,Nina Budiman
4662,Putri Cahyono
